BaseUrl,IsInStock,MPN,Model,PriceIncTax,QuantityAvailable,SKU,ShopSourceID,Title,Url
umart.com.au,false,MHNG3X/A,MHNG3X/A,"1,649.0",Null,59182,,Apple 12.9 inch iPad Pro - Apple M1 WiFi 128GB - Silver (MHNG3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-128GB---Silver--MHNG3X-A_59182G.html
umart.com.au,false,MWPF2X/A,MWPF2X/A,"9,999.0",Null,56958,,Apple Pro Display XDR - Nano Texture Glass,https://www.umart.com.au/https://www.umart.com.au/Apple-Pro-Display-XDR---Nano-Texture-Glass_56958G.html
umart.com.au,false,MWPE2X/A,MWPE2X/A,"8,499.0",Null,56957,,Apple Pro Display XDR - Standard Glass,https://www.umart.com.au/https://www.umart.com.au/Apple-Pro-Display-XDR---Standard-Glass_56957G.html
umart.com.au,false,MYMK2X/A,MYMK2X/A,696.0,Null,56882,,Apple 10.2 inch iPad - Wi-Fi + Cellular 32GB - Gold (MYMK2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-10-2-inch-iPad---Wi-Fi-+-Cellular-32GB---Gold--MYMK2X-A_56882G.html
umart.com.au,false,MXK72X/A,MXK72X/A,"1,849.0",Null,55242,,Apple 13in MacBook Pro - 1.4GHz 8th Gen Intel i5 512GB - Silver (MXK72X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-13in-MacBook-Pro---1-4GHz-8th-Gen-Intel-i5-512GB---Silver--MXK72X-A_55242G.html
umart.com.au,false,MWTL2X/A,MWTL2X/A,"1,399.0",Null,55534,,Apple 13in MacBook Air - 1.1GHz 10th Gen Intel i3 256GB - Gold (MWTL2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-13in-MacBook-Air---1-1GHz-10th-Gen-Intel-i3-256GB---Gold--MWTL2X-A_55534G.html
umart.com.au,false,MYLE2X/A,MYLE2X/A,649.0,Null,56830,,Apple 10.2 inch iPad - Wi-Fi 128GB - Silver (MYLE2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-10-2-inch-iPad---Wi-Fi-128GB---Silver--MYLE2X-A_56830G.html
umart.com.au,false,MXK52X/A,MXK52X/A,"2,069.0",Null,55241,,Apple 13in MacBook Pro - 1.4GHz 8th Gen Intel i5 512GB - Space Grey (MXK52X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-13in-MacBook-Pro---1-4GHz-8th-Gen-Intel-i5-512GB---Space-Grey--MXK52X-A_55241G.html
umart.com.au,false,MXDF2X/A,MXDF2X/A,"1,699.0",Null,55195,,Apple 11 inch iPad Pro - WiFi 512GB - Silver (MXDF2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-11-inch-iPad-Pro---WiFi-512GB---Silver--MXDF2X-A_55195G.html
umart.com.au,false,MHNK3X/A,MHNK3X/A,"2,099.0",Null,59185,,Apple 12.9 inch iPad Pro - Apple M1 WiFi 512GB - Space Grey (MHNK3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-512GB---Space-Grey--MHNK3X-A_59185G.html
umart.com.au,false,MXAT2X/A,MXAT2X/A,"1,819.0",Null,54651,,Apple 12.9 inch iPad Pro - WiFi 256GB - Space Grey (MXAT2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---WiFi-256GB---Space-Grey--MXAT2X-A_54651G.html
umart.com.au,false,MXFA2X/A,MXFA2X/A,"2,399.0",Null,54592,,Apple 12.9 inch iPad Pro - WiFi + Cellular 1TB - Silver (MXFA2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---WiFi-+-Cellular-1TB---Silver--MXFA2X-A_54592G.html
